"SampleCode","AnimalCode","SampleGroup","Biopsy","capelin","coho","eulachon","herring","mackerel","pilchard","pollock","sandlance","squid","surfsmelt_lg","surfsmelt_s"
"3-01A","P031","T","A",35.3,0,0,44.9,9.25,2.36,0,8.19,0,0,0
"3-01B","P031","T1","B",43.06,0,0,44.79,3.72,4.25,0,4.18,0,0,0
"3-01C","P031","T1","C",50.15,0,0,34.34,6.14,3.97,0,5.4,0,0,0
"3-02A","P032","T","A",37.8,0,0,47.14,1.42,5.04,0,8.6,0,0,0
"3-02B","P032","T1","B",39.86,0,0,45.5,3.69,5.77,0,5.18,0,0,0
"3-02C","P032","T1","C",47.99,0,0,35.59,4.47,5.39,0,6.55,0,0,0
"3-04A","P034","T","A",41.29,0,0,46.33,8.24,2.65,0,1.49,0,0,0
"3-04B","P034","T2","B",31.96,0,0,28,2.95,2.4,0,34.7,0,0,0
"3-04C","P034","T2","C",21.07,0,0,14.45,0.27,2,0,37.03,0,25.17,0
"3-05A","P035","T","A",28.91,0,0,63.5,0,3.93,0,3.66,0,0,0
