"SampleCode","AnimalCode","SampleGroup","Biopsy","capelin","coho","eulachon","herring","mackerel","pilchard","pollock","sandlance","squid","surfsmelt_lg","surfsmelt_s"
"3-01A","P031","T","A",33.67,0,0,50.52,0,0.59,1.06,9.12,5.05,0,0
"3-01B","P031","T1","B",41.92,0,0,49.68,0,2.99,0,0,5.41,0,0
"3-01C","P031","T1","C",46.32,0,0,43.8,0,3.57,0,0,6.31,0,0
"3-02A","P032","T","A",30.87,0,0.06,60.24,0,3.34,0,4.11,1.37,0,0
"3-02B","P032","T1","B",33.55,0,0,56.58,0,4.18,0,0,5.69,0,0
"3-02C","P032","T1","C",43.83,0,0,50.31,0,4.1,0,0,1.76,0,0
"3-04A","P034","T","A",41.1,0,0,52.12,0,1.32,1.48,0.98,3.01,0,0
"3-04B","P034","T2","B",32.89,0,0.01,31.88,0,0.99,0,11.26,8.1,14.87,0
"3-04C","P034","T2","C",13.44,0,0,21.34,0,1.65,0,7.47,2.07,54.03,0
"3-05A","P035","T","A",21.03,0,0.16,74.49,0,0,0,0,4.32,0,0
