"SampleCode","AnimalCode","SampleGroup","Biopsy","capelin","coho","eulachon","herring","mackerel","pilchard","pollock","sandlance","squid","surfsmelt_lg","surfsmelt_s"
"3-01A","P031","T","A",35.9,0,0,44.17,9.38,2.68,0,7.87,0,0,0
"3-01B","P031","T1","B",43.47,0,0,44.06,3.92,4.66,0,3.88,0,0,0
"3-01C","P031","T1","C",50.29,0,0,33.86,6.34,4.3,0,5.22,0,0,0
"3-02A","P032","T","A",38.87,0,0,46.39,1.53,5.57,0,7.63,0,0,0
"3-02B","P032","T1","B",40.54,0,0,44.6,3.94,6.3,0,4.62,0,0,0
"3-02C","P032","T1","C",48.36,0,0,34.97,4.7,5.8,0,6.17,0,0,0
"3-04A","P034","T","A",42.15,0,0,44.72,8.8,3.44,0,0.89,0,0,0
"3-04B","P034","T2","B",32.82,0,0,27.61,2.93,2.68,0,33.96,0,0,0
"3-04C","P034","T2","C",21.67,0,0,14.29,0.26,2.08,0,37.18,0,24.52,0
"3-05A","P035","T","A",29.87,0,0,62.99,0,4.37,0,2.77,0,0,0
