Lab Code,Species,lipid,c12.0,c13.0,Iso14,c14.0,c14.1w9,c14.1w7,c14.1w5,Iso15,Anti15,c15.0,c15.1w8,c15.1w6,Iso16,c16.0,c16.1w11,c16.1w9,c16.1w7,c7Me16.0,c16.1w5,c16.2w6,Iso17,c16.2w4,c16.3w6,c17.0,c16.3w4,c17.1,c16.3w1,c16.4w3,c16.4w1,c18.0,c18.1w13,c18.1w11,c18.1w9,c18.1w7,c18.1w5,"c18.2d5,11",c18.2w7,c18.2w6,c18.2w4,c18.3w6,c18.3w4,c18.3w3,c18.3w1,c18.4w3,c18.4w1,c20.0,c20.1w11,c20.1w9,c20.1w7,c20.2w9,c20.2w6,c20.3w6,c20.4w6,c20.3w3,c20.4w3,c20.5w3,c22.1w11,c22.1w9,c22.1w7,c22.2w6,c21.5w3,c22.4w6,c22.5w6,c22.4w3,c22.5w3,c22.6w3,c24.1w9
P234,mackerel,2.97,0.04,0.03,0.02,4.98,0.2,0.03,0.16,0.21,0.06,0.31,0.01,0.01,0.14,14.11,0.35,0.14,4.72,0.26,0.07,0.05,0.1,0.27,0.4,0.89,0.21,0.24,0,0.18,0.43,2.5,0.1,0.6,8.92,4,0.4,0.04,0.03,1.26,0.08,0.12,0.07,0.48,0.08,0.8,0.1,0.14,6.77,4.48,0.32,0.1,0.22,0.09,0.86,0.09,0.41,10.01,9.7,0.91,0.15,0,0.32,0.05,0.11,0.05,1.34,14.78,1.01
P235,mackerel,5.85,0.03,0.02,0.02,4.64,0.18,0.02,0.12,0.2,0.06,0.3,0.01,0.01,0.16,14.47,0.37,0.14,4.77,0.25,0.09,0.05,0.1,0.29,0.4,0.79,0.21,0.22,0,0.17,0.48,2.64,0.13,0.65,8.76,3.99,0.48,0.05,0.03,1.17,0.09,0.12,0.07,0.43,0.08,0.83,0.14,0.15,6.74,4.14,0.31,0.12,0.22,0.09,0.87,0.08,0.45,10.45,9.44,0.9,0.17,0.01,0.36,0.03,0.11,0.05,1.52,14.42,1.19
P236,mackerel,3.81,0.03,0.02,0.02,6.27,0.2,0.03,0.13,0.2,0.06,0.28,0.02,0.01,0.11,12.4,0.4,0.12,5.5,0.24,0.1,0.09,0.11,0.28,0.7,0.46,0.39,0.17,0,0.14,1,2,0.15,0.78,6.24,3.01,0.53,0.04,0.03,1.09,0.14,0.12,0.08,0.43,0.09,1.2,0.24,0.16,9.92,3.64,0.27,0.12,0.22,0.1,0.68,0.06,0.5,11.45,11.75,0.81,0.16,0,0.37,0.03,0.08,0.05,1.92,11.1,0.97
P237,mackerel,6.71,0.03,0.02,0.02,5.94,0.23,0.02,0.14,0.24,0.06,0.3,0.02,0.01,0.1,11.04,0.4,0.11,5.1,0.25,0.09,0.08,0.11,0.28,0.59,0.38,0.35,0.18,0,0.21,0.86,1.49,0.14,0.83,5.99,2.49,0.54,0.03,0.03,1.03,0.13,0.11,0.08,0.45,0.08,1.38,0.28,0.17,9.84,4.88,0.31,0.16,0.21,0.08,0.47,0.06,0.53,10.17,17.27,1.38,0.26,0,0.4,0.02,0.06,0.05,1.67,8.7,1.06
P238,mackerel,3.73,0.03,0.03,0.03,5.77,0.2,0.02,0.15,0.23,0.06,0.3,0.02,0.01,0.11,12.35,0.37,0.12,5.18,0.26,0.08,0.06,0.1,0.23,0.51,0.65,0.26,0.2,0,0.24,0.64,1.83,0.13,0.79,7.18,3.3,0.49,0.04,0.03,1.14,0.11,0.12,0.07,0.44,0.07,1.01,0.19,0.16,9.13,4.81,0.32,0.13,0.2,0.09,0.65,0.06,0.46,9.34,14.06,1.19,0.2,0,0.34,0.03,0.09,0.04,1.64,10.87,1.09
P239,mackerel,3.82,0.06,0.03,0.03,5.75,0.17,0.03,0.16,0.23,0.07,0.33,0.01,0.01,0.12,14.45,0.39,0.14,5.57,0.3,0.09,0.05,0.11,0.22,0.46,0.82,0.22,0.25,0,0.19,0.47,2.21,0.16,0.64,9.98,4.54,0.5,0.05,0.03,1.3,0.09,0.12,0.07,0.5,0.06,0.82,0.1,0.15,7.62,4.42,0.35,0.12,0.22,0.09,0.72,0.08,0.43,9.19,10.12,0.95,0.16,0,0.34,0.03,0.09,0.04,1.23,10.6,1.14
P240,mackerel,9.98,0.04,0.03,0.02,5.76,0.17,0.03,0.16,0.22,0.07,0.34,0.02,0.01,0.09,12.71,0.43,0.12,5.41,0.32,0.09,0.07,0.11,0.23,0.5,0.47,0.28,0.23,0,0.2,0.73,1.3,0.16,0.67,8.37,3.19,0.63,0.05,0.03,1.2,0.13,0.12,0.08,0.61,0.07,1.62,0.26,0.15,8.92,5.03,0.28,0.15,0.22,0.08,0.41,0.08,0.64,10.33,14.64,1.26,0.23,0.03,0.46,0.02,0.05,0.05,1.4,7.34,0.93
P241,mackerel,9.36,0.05,0.03,0.03,6.7,0.19,0.03,0.16,0.22,0.07,0.33,0.02,0.01,0.08,11.99,0.43,0.13,5.06,0.31,0.06,0.08,0.11,0.25,0.58,0.44,0.33,0.2,0,0.2,0.87,1.34,0.18,0.68,7.01,2.69,0.58,0.04,0.03,1.16,0.12,0.13,0.08,0.62,0.08,1.93,0.25,0.16,10.26,4.68,0.26,0.14,0.22,0.08,0.42,0.07,0.65,10.56,14.88,1.12,0.2,0.02,0.48,0.02,0.06,0.05,1.41,7.58,0.8
P242,mackerel,8.41,0.04,0.03,0.02,5.91,0.16,0.03,0.18,0.24,0.08,0.37,0.02,0.01,0.1,13.32,0.47,0.16,5.63,0.35,0.07,0.06,0.11,0.27,0.48,0.42,0.25,0.25,0,0.23,0.6,1.5,0.19,0.67,8.95,3.56,0.63,0.05,0.03,1.31,0.13,0.12,0.08,0.68,0.08,1.69,0.22,0.14,8.28,4.46,0.28,0.13,0.24,0.08,0.46,0.09,0.68,10.38,12.54,1.05,0.19,0.01,0.48,0.03,0.07,0.05,1.42,8.43,0.78
P243,mackerel,3.46,0.04,0.03,0.02,5.04,0.16,0.03,0.17,0.21,0.07,0.31,0.01,0.01,0.15,14.46,0.38,0.16,5.5,0.27,0.05,0.04,0.1,0.21,0.4,0.66,0.18,0.23,0,0.32,0.37,2.36,0.13,0.68,9.94,4.61,0.44,0.04,0.03,1.31,0.08,0.12,0.07,0.49,0.06,0.82,0.11,0.14,7.28,4.26,0.32,0.1,0.21,0.1,0.8,0.07,0.45,9.65,9.59,0.9,0.16,0.02,0.37,0.03,0.1,0.04,1.37,12.22,1.03
P244,mackerel,5.08,0.04,0.03,0.03,5.89,0.2,0.03,0.19,0.24,0.07,0.36,0.01,0.01,0.11,12.67,0.45,0.19,5.86,0.33,0.09,0.06,0.12,0.28,0.51,0.72,0.24,0.25,0,0.25,0.53,1.71,0.15,0.71,9.78,3.92,0.52,0.04,0.03,1.37,0.1,0.13,0.08,0.59,0.08,1.35,0.15,0.14,8.4,4.67,0.35,0.12,0.24,0.09,0.59,0.08,0.54,9.04,12.49,1.11,0.18,0.02,0.41,0.03,0.09,0.04,1.29,8.66,0.98
P245,mackerel,3.16,0.03,0.03,0.03,5.87,0.2,0.02,0.14,0.23,0.06,0.28,0.01,0.01,0.13,13.12,0.37,0.15,4.95,0.27,0.08,0.07,0.11,0.25,0.52,0.57,0.27,0.2,0,0.29,0.63,2.24,0.16,0.81,7.12,3.26,0.47,0.04,0.03,1.05,0.11,0.11,0.07,0.37,0.06,0.85,0.18,0.16,9.38,4.01,0.29,0.12,0.19,0.09,0.7,0.06,0.41,9.49,12.1,0.94,0.18,0.01,0.33,0.03,0.09,0.05,1.63,12.86,1.1
P246,mackerel,3.45,0.05,0.03,0.03,5.5,0.19,0.03,0.16,0.24,0.07,0.35,0.01,0.01,0.13,14.3,0.38,0.17,5.14,0.28,0.08,0.05,0.12,0.22,0.44,0.9,0.2,0.25,0,0.16,0.42,2.19,0.15,0.56,9.78,4.32,0.45,0.04,0.04,1.24,0.08,0.11,0.07,0.45,0.06,0.75,0.11,0.16,7.5,4.75,0.36,0.11,0.21,0.09,0.72,0.08,0.43,8.66,11.29,1.09,0.18,0.02,0.33,0.04,0.09,0.04,1.42,10.91,1.25
P247,mackerel,8.63,0.04,0.02,0.02,5.89,0.17,0.02,0.15,0.22,0.07,0.35,0.01,0.01,0.09,12.27,0.47,0.16,5.15,0.35,0.11,0.07,0.11,0.25,0.46,0.51,0.23,0.21,0,0.21,0.61,1.43,0.18,0.74,7.89,2.92,0.63,0.04,0.03,1.21,0.12,0.12,0.08,0.64,0.08,1.86,0.23,0.16,9.56,4.59,0.27,0.15,0.23,0.08,0.42,0.08,0.71,10.07,14.85,1.15,0.21,0.03,0.49,0.03,0.07,0.06,1.39,8.09,0.93
